analysis_panel,state,radius_m,method_pair,common_valid_pixels,union_pixels,jaccard,union_area_km2
national49_standardized_500m,CA,500,WUI-S/WUI-Z,471072551.000000000000,54009476,0.479481637630,48608.528400000003
national49_standardized_500m,CO,500,WUI-P/WUI-S,299560551.000000000000,30335854,0.574598097683,27302.268599999999
national49_standardized_500m,CO,500,WUI-P/WUI-Z,299560551.000000000000,25932035,0.342294694574,23338.831500000000
national49_standardized_500m,CO,500,WUI-S/WUI-Z,299560551.000000000000,27197024,0.325760605278,24477.321599999999
national49_standardized_500m,CT,500,WUI-P/WUI-S,15953457.000000000000,9993494,0.928048488347,8994.144600000000
national49_standardized_500m,CT,500,WUI-P/WUI-Z,15953457.000000000000,10988470,0.763643255157,9889.623000000000
national49_standardized_500m,CT,500,WUI-S/WUI-Z,15953457.000000000000,11107385,0.762812939319,9996.646500000001
national49_standardized_500m,DC,500,WUI-P/WUI-S,196698.000000000000,7661,0.856154549014,6.894900000000
national49_standardized_500m,DC,500,WUI-P/WUI-Z,196698.000000000000,9469,0.024712218819,8.522100000000
national49_standardized_500m,DC,500,WUI-S/WUI-Z,196698.000000000000,8375,0.027940298507,7.537500000000
national49_standardized_500m,DE,500,WUI-P/WUI-S,7162140.000000000000,1296075,0.856507532357,1166.467500000000
national49_standardized_500m,DE,500,WUI-P/WUI-Z,7162140.000000000000,1767002,0.387429669010,1590.301800000000
national49_standardized_500m,DE,500,WUI-S/WUI-Z,7162140.000000000000,1727111,0.373463546929,1554.399900000000
national49_standardized_500m,FL,500,WUI-P/WUI-S,205482681.000000000000,46536171,0.667696059480,41882.553899999999
national49_standardized_500m,FL,500,WUI-P/WUI-Z,205482681.000000000000,52860194,0.422849866953,47574.174599999998
national49_standardized_500m,FL,500,WUI-S/WUI-Z,205482681.000000000000,41674802,0.472247306658,37507.321799999998
national49_standardized_500m,GA,500,WUI-P/WUI-S,171005499.000000000000,62185381,0.590535370363,55966.842900000003
national49_standardized_500m,GA,500,WUI-P/WUI-Z,171005499.000000000000,62225856,0.396134285401,56003.270400000001
national49_standardized_500m,GA,500,WUI-S/WUI-Z,171005499.000000000000,67964037,0.471748492515,61167.633300000001
national49_standardized_500m,IA,500,WUI-P/WUI-S,161939734.000000000000,3934057,0.496443239129,3540.651300000000
national49_standardized_500m,IA,500,WUI-P/WUI-Z,161939734.000000000000,3176886,0.192255875722,2859.197400000000
national49_standardized_500m,IA,500,WUI-S/WUI-Z,161939734.000000000000,3825098,0.168830707083,3442.588200000000
national49_standardized_500m,ID,500,WUI-P/WUI-S,240490489.000000000000,15821910,0.762183579606,14239.718999999999
national49_standardized_500m,ID,500,WUI-P/WUI-Z,240490489.000000000000,15657754,0.270498310294,14091.978600000000
national49_standardized_500m,ID,500,WUI-S/WUI-Z,240490489.000000000000,14779126,0.274570363633,13301.213400000001
national49_standardized_500m,IL,500,WUI-P/WUI-S,166661185.000000000000,10059255,0.354678254006,9053.329500000000
national49_standardized_500m,IL,500,WUI-P/WUI-Z,166661185.000000000000,7855413,0.209196512010,7069.871700000000
national49_standardized_500m,IL,500,WUI-S/WUI-Z,166661185.000000000000,10308364,0.239446725009,9277.527599999999
national49_standardized_500m,IN,500,WUI-P/WUI-S,104811869.000000000000,14725909,0.747693809598,13253.318100000000
national49_standardized_500m,IN,500,WUI-P/WUI-Z,104811869.000000000000,15724531,0.408882656023,14152.077900000000
national49_standardized_500m,IN,500,WUI-S/WUI-Z,104811869.000000000000,17458762,0.392155698096,15712.885800000000
national49_standardized_500m,KS,500,WUI-P/WUI-S,236777598.000000000000,17105550,0.368096202694,15394.995000000001
national49_standardized_500m,KS,500,WUI-P/WUI-Z,236777598.000000000000,8796087,0.214846783575,7916.478300000000
national49_standardized_500m,KS,500,WUI-S/WUI-Z,236777598.000000000000,16357673,0.122361719787,14721.905699999999
national49_standardized_500m,KY,500,WUI-P/WUI-S,116278607.000000000000,35225330,0.752568137758,31702.796999999999
national49_standardized_500m,KY,500,WUI-P/WUI-Z,116278607.000000000000,38178671,0.384733743089,34360.803899999999
national49_standardized_500m,KY,500,WUI-S/WUI-Z,116278607.000000000000,41515729,0.375252425412,37364.156100000000
national49_standardized_500m,LA,500,WUI-P/WUI-S,150724058.000000000000,27245569,0.487685795808,24521.012100000000
national49_standardized_500m,LA,500,WUI-P/WUI-Z,150724058.000000000000,26838533,0.327074434359,24154.679700000001
national49_standardized_500m,LA,500,WUI-S/WUI-Z,150724058.000000000000,30999612,0.412819134639,27899.650799999999
national49_standardized_500m,MA,500,WUI-P/WUI-S,30372241.000000000000,14708079,0.932000025292,13237.271100000000
national49_standardized_500m,MA,500,WUI-P/WUI-Z,30372241.000000000000,16549692,0.704720365793,14894.722800000000
national49_standardized_500m,MA,500,WUI-S/WUI-Z,30372241.000000000000,16780600,0.700782689534,15102.540000000001
national49_standardized_500m,MD,500,WUI-P/WUI-S,35701204.000000000000,11718957,0.818145590943,10547.061299999999
national49_standardized_500m,MD,500,WUI-P/WUI-Z,35701204.000000000000,13355005,0.532402945562,12019.504499999999
national49_standardized_500m,MD,500,WUI-S/WUI-Z,35701204.000000000000,12572477,0.522365640438,11315.229300000001
national49_standardized_500m,ME,500,WUI-P/WUI-S,101814710.000000000000,23298603,0.829625063786,20968.742699999999
national49_standardized_500m,ME,500,WUI-P/WUI-Z,101814710.000000000000,27029346,0.525706504331,24326.411400000001
national49_standardized_500m,ME,500,WUI-S/WUI-Z,101814710.000000000000,28281884,0.522932524580,25453.695599999999
national49_standardized_500m,MI,500,WUI-P/WUI-S,278318737.000000000000,48035420,0.277963594364,43231.877999999997
national49_standardized_500m,MI,500,WUI-P/WUI-Z,278318737.000000000000,38646455,0.250783674725,34781.809500000003
national49_standardized_500m,MI,500,WUI-S/WUI-Z,278318737.000000000000,55301862,0.448561261825,49771.675799999997
national49_standardized_500m,MN,500,WUI-P/WUI-S,250201884.000000000000,36138855,0.551744043911,32524.969499999999
national49_standardized_500m,MN,500,WUI-P/WUI-Z,250201884.000000000000,33883765,0.237360812767,30495.388500000001
national49_standardized_500m,MN,500,WUI-S/WUI-Z,250201884.000000000000,29983144,0.264379079125,26984.829600000001
national49_standardized_500m,MO,500,WUI-P/WUI-S,200599680.000000000000,31538957,0.135093338692,28385.061300000001
national49_standardized_500m,MO,500,WUI-P/WUI-Z,200599680.000000000000,18119445,0.127296448650,16307.500500000000
national49_standardized_500m,MO,500,WUI-S/WUI-Z,200599680.000000000000,35323918,0.302209964365,31791.526200000000
national49_standardized_500m,MS,500,WUI-P/WUI-S,139387019.000000000000,60906277,0.610359520087,54815.649299999997
national49_standardized_500m,MS,500,WUI-P/WUI-Z,139387019.000000000000,63654005,0.346925523382,57288.604500000001
national49_standardized_500m,MS,500,WUI-S/WUI-Z,139387019.000000000000,46694802,0.398541469348,42025.321799999998
national49_standardized_500m,MT,500,WUI-P/WUI-S,423156033.000000000000,26903811,0.486724167071,24213.429899999999
national49_standardized_500m,MT,500,WUI-P/WUI-Z,423156033.000000000000,20888154,0.240014842863,18799.338599999999
national49_standardized_500m,MT,500,WUI-S/WUI-Z,423156033.000000000000,21831728,0.209549285334,19648.555199999999
national49_standardized_500m,NC,500,WUI-P/WUI-S,154877123.000000000000,67655971,0.817828259386,60890.373899999999
national49_standardized_500m,NC,500,WUI-P/WUI-Z,154877123.000000000000,78581756,0.544114641572,70723.580399999992
national49_standardized_500m,NC,500,WUI-S/WUI-Z,154877123.000000000000,73883509,0.530126594285,66495.158100000001
national49_standardized_500m,ND,500,WUI-P/WUI-S,203454506.000000000000,12888553,0.226841290873,11599.697700000001
national49_standardized_500m,ND,500,WUI-P/WUI-Z,203454506.000000000000,7942820,0.074124555259,7148.538000000000
national49_standardized_500m,ND,500,WUI-S/WUI-Z,203454506.000000000000,8451410,0.065225684235,7606.269000000000
national49_standardized_500m,NE,500,WUI-P/WUI-S,222587524.000000000000,15668881,0.304020050953,14101.992899999999
national49_standardized_500m,NE,500,WUI-P/WUI-Z,222587524.000000000000,7472067,0.109289437581,6724.860299999999
national49_standardized_500m,NE,500,WUI-S/WUI-Z,222587524.000000000000,13850052,0.058516025788,12465.046800000000
national49_standardized_500m,NH,500,WUI-P/WUI-S,26906819.000000000000,14798625,0.805067159956,13318.762500000001
national49_standardized_500m,NH,500,WUI-P/WUI-Z,26906819.000000000000,16080652,0.622039330246,14472.586799999999
national49_standardized_500m,NH,500,WUI-S/WUI-Z,26906819.000000000000,15052871,0.605062715279,13547.583900000000
national49_standardized_500m,NJ,500,WUI-P/WUI-S,25091131.000000000000,9902681,0.880847418997,8912.412899999999
national49_standardized_500m,NJ,500,WUI-P/WUI-Z,25091131.000000000000,11135188,0.654833398412,10021.669200000000
national49_standardized_500m,NJ,500,WUI-S/WUI-Z,25091131.000000000000,11256364,0.658557505781,10130.727600000000
national49_standardized_500m,NM,500,WUI-P/WUI-S,349916765.000000000000,17160175,0.634841952369,15444.157499999999
national49_standardized_500m,NM,500,WUI-P/WUI-Z,349916765.000000000000,15212997,0.407071795255,13691.697300000000
national49_standardized_500m,NM,500,WUI-S/WUI-Z,349916765.000000000000,16317106,0.385049346373,14685.395399999999
national49_standardized_500m,NV,500,WUI-P/WUI-S,318196629.000000000000,7796656,0.503516764110,7016.990400000000
national49_standardized_500m,NV,500,WUI-P/WUI-Z,318196629.000000000000,6967970,0.346098361503,6271.173000000000
national49_standardized_500m,NV,500,WUI-S/WUI-Z,318196629.000000000000,6172311,0.384793475248,5555.079900000000
national49_standardized_500m,NY,500,WUI-P/WUI-S,157006893.000000000000,56037085,0.814946726797,50433.376499999998
national49_standardized_500m,NY,500,WUI-P/WUI-Z,157006893.000000000000,61280991,0.489595851999,55152.891900000002
national49_standardized_500m,NY,500,WUI-S/WUI-Z,157006893.000000000000,63168342,0.480913366382,56851.507799999999
national49_standardized_500m,OH,500,WUI-P/WUI-S,128998124.000000000000,28739865,0.768110358208,25865.878499999999
national49_standardized_500m,OH,500,WUI-P/WUI-Z,128998124.000000000000,30053280,0.457209828678,27047.952000000001
national49_standardized_500m,OH,500,WUI-S/WUI-Z,128998124.000000000000,33140411,0.449344970405,29826.369900000002
national49_standardized_500m,OK,500,WUI-P/WUI-S,201152946.000000000000,38511074,0.133837815066,34659.966600000000
national49_standardized_500m,OK,500,WUI-P/WUI-Z,201152946.000000000000,17736581,0.202300713988,15962.922900000000
national49_standardized_500m,OK,500,WUI-S/WUI-Z,201152946.000000000000,41297802,0.295659318624,37168.021800000002
national49_standardized_500m,OR,500,WUI-P/WUI-S,283110409.000000000000,21687887,0.714715961034,19519.098300000001
national49_standardized_500m,OR,500,WUI-P/WUI-Z,283110409.000000000000,21356632,0.379912478709,19220.968799999999
